match_id,score_gap,xp_gap,gold_adv,dmg_diff,heal_diff,kda_diff,wards_diff
4978701632,-12,86164.55365853659,214749.4073170732,-6485,-404,-18,-1.0
4969568760,-6,-111669.4,-83131.97826086957,13043,-7342,-15,-1.0
4968466397,-18,-298842.2371428571,-216912.7457142857,-29772,985,-43,0.0
4967721543,-27,-195171.06923076924,-256060.13846153847,-47182,516,-22,1.0
4977018128,-4,-206268.45081967214,-111569.08524590163,-9859,-1526,-8,-1.0
4985891168,-22,-193433.32499999998,-283550.52499999997,-24289,-2317,-39,1.0
4969186537,-3,-105484.74285714285,-602398.3571428572,-6096,-5583,-4,-1.0
4967652141,12,31799.057142857142,31033.214285714283,14450,165,40,1.0
4971031352,-14,-51346.45,-32685.45,-4855,-7763,-28,-1.0
4972958554,18,-27653.69375,76106.171875,12639,11376,32,2.0
4971088106,-22,-58411.77142857143,-80563.05714285714,-39012,-2069,-35,0.0
4969641209,2,116596.37659574467,241101.48936170212,-6551,5112,7,1.0
4967893095,-11,-180252.58392857143,57104.02678571429,-32575,-7731,-14,0.0
4973073617,-8,-62093.83448275862,-56107.60689655173,-36733,-402,-11,-1.0
4971301802,14,166560.8772727273,130390.7659090909,18277,437,16,0.0
4971878070,-13,-103667.26216216217,-99107.24054054054,18544,-7424,-26,-1.0
4969292028,14,68919.425,78943.82500000001,20003,6955,29,0.0
4971252360,12,127889.59999999999,-30291.123255813953,-13436,8637,17,1.0
4969232153,3,47621.42571428571,60245.18285714285,11588,2905,5,1.0
4977501535,-8,-159876.11470588233,-147955.54705882352,-27082,5134,-22,1.0
4980541717,-7,-36605.46428571429,-18429.707142857143,-29426,5911,-12,0.0
4968242416,-19,-99874.03448275861,-24453.189655172413,-37889,3190,-32,0.0
4967642360,-16,-217830.55,-186498.78235294117,-20140,-2680,-41,-1.0
4986133311,9,161575.70625,246881.55625,-69312,11028,8,0.0
4969661567,-16,-200612.84117647057,-111096.71176470589,-21938,-3593,-45,1.0
4969560020,-32,-427874.30526315793,-340362.7236842105,-25245,-5170,-46,-1.0
4969729714,4,47372.524999999994,-34983.6,22332,-1709,0,1.0
4970980698,21,99072.3956521739,69079.6,20985,1537,71,-1.0
4981755910,-10,11235.30857142857,-12696.379999999997,-20197,-9533,-36,2.0
4981028582,8,68831.46666666667,62646.33333333333,-4182,5938,13,2.0
4971034132,10,32500.3,20040.8,12270,2881,19,-1.0
4967655141,-3,6955.399999999997,331270.88000000006,48909,-1570,2,0.0
4971457523,-5,73040.34999999999,-17284.092857142856,-5378,-14930,-14,-2.0
4983550247,12,42898.014285714286,66798.09999999999,20547,4036,36,0.0
4978435281,-19,-233382.37058823532,-145883.47352941177,-3826,-14871,-40,-1.0
4984038549,-15,-115191.49230769232,-192707.12307692308,-495,-9010,-47,2.0
4967813166,-16,-133394.31,-87047.96,-32120,-344,-34,-1.0
4969185780,8,85801.38043478261,-24670.741304347845,-3283,-765,6,0.0
4971157392,6,1046.178260869566,158218.01304347825,66235,19325,10,1.0
4969752692,-5,111325.44590163934,106713.65901639345,-10557,4029,-9,2.0
4971068045,-14,-90718.3794117647,-141810.54411764705,-19238,-650,-29,-2.0
4973135877,-11,-335542.80000000005,-177310.16097560976,-9961,2818,-25,-1.0
4972974534,16,262933.2702702703,146744.03783783785,12545,22361,28,3.0
4980123889,-21,-206611.925,-170056.48249999998,-35135,-6989,-33,1.0
