match_id,team_tag,region,team_slot,score_gap_scaled,xp_gap_scaled,gold_adv_scaled,total_dmg_scaled,total_heal_scaled,total_kda_scaled,total_wards_scaled,total_score
4969185780,VG,China,radiant,0.621212121,0.564126135,0.484757919,0.412763364,0.047927169,0.263888889,0.55,2.944675597
4969185780,VP,CIS,dire,0.378787879,0.435873865,0.515242081,0.424964786,0.062316605,0.180555556,0.55,2.547740771
4969185930,OG,Europe,radiant,0.787878788,0.622224509,0.660543634,0.285709507,0.143160785,0.541666667,0.35,3.39118389
4969185930,EG,North America,dire,0.212121212,0.377775491,0.339456366,0.188651897,0.020107592,0.069444444,0.35,1.557557002
4969186537,Fnatic,Southeast Asia,radiant,0.454545455,0.421162937,0.127826164,0.485340083,0.009875103,0.166666667,0.675,2.340416409
4969186537,NiP,Europe,dire,0.545454545,0.578837063,0.872173836,0.50799615,0.114889775,0.222222222,0.7,3.541573591
4969187966,Na`Vi,CIS,radiant,0.696969697,0.558597543,0.657247475,0.676441184,0.260571063,0.291666667,0.75,3.891493629
4969187966,Infamous,South America,dire,0.303030303,0.441402457,0.342752525,0.648187998,0.02558122,0.222222222,0.7,2.683176725
4969232153,OG,Europe,radiant,0.545454545,0.535591245,0.537220687,0.329813764,0.139304793,0.222222222,0.4,2.709607256
4969232153,EG,North America,dire,0.454545455,0.464408755,0.462779313,0.286746424,0.084662554,0.152777778,0.375,2.280920277
4969238891,VP,CIS,radiant,0.393939394,0.371910377,0.446206274,0.224602051,0.083778497,0.111111111,0.475,2.106547703
4969238891,VG,China,dire,0.606060606,0.628089623,0.553793726,0.360980722,0.036302761,0.263888889,0.5,2.949116328
4969247132,Na`Vi,CIS,radiant,0.833333333,0.476526401,0.538261147,0.338246608,0.231698142,0.416666667,0.425,3.259732297
4969247132,Infamous,South America,dire,0.166666667,0.523473599,0.461738853,0.328802863,0.02560003,0.041666667,0.425,1.972948679
4969248720,NiP,Europe,radiant,0.287878788,0.397109428,0.467343067,0.15364203,0,0.055555556,0.375,1.736528868
4969248720,Fnatic,Southeast Asia,dire,0.712121212,0.602890572,0.532656933,0.251561879,0.110168535,0.486111111,0.425,3.120510242
4969274267,Newbee,North America,radiant,0.181818182,0.43131043,0.442762679,0.137103398,0.007523888,0,0.3,1.500518577
4969274267,PSG.LGD,China,dire,0.818181818,0.56868957,0.557237321,0.181263403,0.051538635,0.638888889,0.3,3.115799636
4969288250,Alliance,Europe,radiant,0.318181818,0.384427285,0.406580935,0.447996224,0.141768866,0.111111111,0.55,2.36006624
4969288250,TNC,Southeast Asia,dire,0.681818182,0.615572715,0.593419065,0.657401316,0.038127304,0.319444444,0.6,3.505783026
4969292028,Secret,Europe,radiant,0.712121212,0.551508919,0.548773085,0.334329368,0.158396659,0.5,0.425,3.230129243
4969292028,KG,China,dire,0.287878788,0.448491081,0.451226915,0.259987289,0.027575051,0.097222222,0.425,1.997381347
4969295489,Liquid,Europe,radiant,0.393939394,0.352071402,0.453716042,0.31972334,0.066529983,0.166666667,0.475,2.227646828
4969295489,Mineski,Southeast Asia,dire,0.606060606,0.647928598,0.546283958,0.327167583,0.165995787,0.333333333,0.45,3.076769865
4969319314,Newbee,North America,radiant,0.333333333,0.482954078,0.5566535,0.637751935,0,0.25,0.775,3.035692847
4969319314,PSG.LGD,China,dire,0.666666667,0.517045922,0.4433465,0.710339804,0.008313897,0.263888889,0.775,3.384601678
4969348313,KG,China,radiant,0.242424242,0.478563118,0.469698933,0.100331888,0.027198856,0,0.275,1.593217038
4969348313,Secret,Europe,dire,0.757575758,0.521436882,0.530301067,0.176803547,0.194624182,0.916666667,0.275,3.372408101
4969351370,Liquid,Europe,radiant,0.833333333,0.611998152,0.618030343,0.321644795,0.06131969,0.569444444,0.35,3.365770757
